"Nearest Building","X","Y","Latitude","Longitude","Site ID","Species","DBH","Multi-stem","Arbor Day / Tree Campus USA","Donor","Donor Tree","State Champion Tree","Tree Trail"
"ACES Library, Info. & Alumni Center",1014537.49586481,1251567.87605919,40.1033272596,-88.2250605787,5534,"maple, red (Acer rubrum)",7,"No"," ",,"N/A"," ","N/A"
"ACES Library, Info. & Alumni Center",1014621.9193523,1251457.68971478,40.1030245035,-88.2247592601,5738,"Kentucky coffeetree, (Gymnocladus dioicus)",10,"No"," ",,"N/A"," ","N/A"
"ACES Library, Info. & Alumni Center",1014635.56744515,1251370.17746479,40.1027842271,-88.2247108528,5778,"lilac, Japanese tree (Syringa reticulata)",8,"No"," ",,"N/A"," ","N/A"
"ACES Library, Info. & Alumni Center",1014635.84434187,1251379.36117873,40.1028094364,-88.2247098229,5787,"lilac, Japanese tree (Syringa reticulata)",6,"No"," ",,"N/A"," ","N/A"
"ACES Library, Info. & Alumni Center",1014629.78944371,1251383.0845305,40.1028196777,-88.2247314517,5797,"lilac, Japanese tree (Syringa reticulata)",6,"No"," ",,"N/A"," ","N/A"
"ACES Library, Info. & Alumni Center",1014608.74749787,1251391.09429735,40.1028417359,-88.2248066375,5807,"lilac, Japanese tree (Syringa reticulata)",5,"No"," ",,"N/A"," ","N/A"
"ACES Library, Info. & Alumni Center",1014597.79191277,1251397.10751809,40.1028582796,-88.2248457753,5817,"lilac, Japanese tree (Syringa reticulata)",5,"No"," ",,"N/A"," ","N/A"
"ACES Library, Info. & Alumni Center",1014614.4880128,1251408.89407483,40.102890579,-88.2247860386,5827,"lilac, Japanese tree (Syringa reticulata)",5,"No"," ",,"N/A"," ","N/A"
"ACES Library, Info. & Alumni Center",1014610.42924298,1251429.55168074,40.1029473,-88.2248004578,5837,"Kentucky coffeetree, (Gymnocladus dioicus)",10,"No"," ",,"N/A"," ","N/A"
"ACES Library, Info. & Alumni Center",1014585.61845841,1251456.78449098,40.1030221402,-88.2248890329,5846,"lilac, Japanese tree (Syringa reticulata)",8,"No"," ",,"N/A"," ","N/A"
"ACES Library, Info. & Alumni Center",1014576.1090573,1251458.20779649,40.1030260791,-88.224923021,5853,"lilac, Japanese tree (Syringa reticulata)",6,"No"," ",,"N/A"," ","N/A"
"ACES Library, Info. & Alumni Center",1014567.17832631,1251457.62295393,40.1030245035,-88.2249549493,5863,"lilac, Japanese tree (Syringa reticulata)",8,"No"," ",,"N/A"," ","N/A"
"ACES Library, Info. & Alumni Center",1014567.43671412,1251482.01651794,40.1030914657,-88.2249539193,5875,"redbud, eastern (Cercis canadensis)",1.5,"No"," ",,"N/A"," ","N/A"
